Household_Size,Seasonal_Index,Garden_Area,Income_Level,Bathrooms,Appliances_Count,Rainfall,Temperature,Water_Price_Index,Daily_Liters_Used
2.0,1.49,40.0,69630.0,4.0,12.0,193.76,20.47,1.73,130.0
7.0,1.31,98.0,47672.0,4.0,16.0,167.16,18.47,1.77,822.0
5.0,1.47,89.0,58799.0,3.0,5.0,49.79,25.63,0.66,930.0
3.0,0.77,36.0,67691.0,4.0,5.0,133.14,23.36,,420.0
6.0,1.33,106.0,117462.0,4.0,11.0,155.31,21.94,1.43,749.0
1.0,1.01,115.0,39222.0,4.0,22.0,73.62,15.53,1.7,607.0
1.0,1.05,106.0,94681.0,1.0,,88.22,16.32,1.0,391.0
7.0,1.27,17.0,58367.0,1.0,9.0,6.32,26.73,1.3,976.0
4.0,0.75,108.0,123463.0,3.0,22.0,163.66,15.61,2.1,487.0
2.0,1.11,55.0,37174.0,4.0,8.0,134.8,10.47,0.68,275.0
1.0,0.85,62.0,55340.0,3.0,14.0,16.88,,1.54,
2.0,1.42,58.0,32021.0,2.0,24.0,50.02,38.63,1.06,879.0
3.0,0.83,124.0,122924.0,1.0,15.0,132.02,32.33,2.23,536.0
6.0,1.45,89.0,77204.0,2.0,18.0,57.51,34.59,2.45,1111.0
3.0,0.88,133.0,46660.0,3.0,12.0,184.52,18.21,0.6,485.0
,1.33,34.0,103087.0,4.0,23.0,106.58,33.36,1.66,660.0
1.0,1.43,112.0,147870.0,4.0,9.0,11.84,38.74,0.99,983.0
5.0,1.6,75.0,121444.0,4.0,21.0,67.07,39.25,1.41,1027.0
2.0,0.79,147.0,105119.0,3.0,15.0,73.4,31.5,1.58,883.0
7.0,1.35,112.0,100158.0,1.0,13.0,7.47,35.16,1.2,1408.0
3.0,1.53,1.0,134010.0,1.0,9.0,40.85,23.97,2.41,486.0
1.0,,46.0,50232.0,4.0,18.0,176.38,37.92,1.62,339.0
6.0,1.06,127.0,69737.0,3.0,20.0,22.08,23.68,1.61,1173.0
7.0,1.42,98.0,124127.0,1.0,12.0,83.9,32.46,1.19,1091.0
5.0,1.6,84.0,85938.0,1.0,22.0,5.9,19.76,2.34,1010.0
1.0,1.14,42.0,71567.0,4.0,5.0,157.98,10.93,0.9,-30.0
6.0,0.77,133.0,91154.0,2.0,11.0,17.52,25.0,1.51,1146.0
3.0,0.75,102.0,79872.0,3.0,23.0,147.67,18.88,2.31,466.0
5.0,0.94,111.0,59661.0,1.0,12.0,174.92,10.63,1.51,404.0
4.0,0.74,28.0,40836.0,2.0,9.0,107.55,32.59,1.05,618.0
2.0,0.84,13.0,110282.0,1.0,8.0,166.68,26.16,2.19,95.0
7.0,1.11,61.0,87163.0,3.0,16.0,102.46,30.97,1.36,943.0
6.0,0.9,14.0,40008.0,4.0,23.0,18.25,20.87,1.4,1068.0
4.0,0.86,122.0,44162.0,4.0,21.0,48.81,29.2,1.13,1004.0
5.0,1.29,84.0,92902.0,1.0,22.0,20.44,26.09,1.16,1111.0
3.0,0.83,35.0,116952.0,2.0,,27.55,38.2,0.65,830.0
4.0,1.58,52.0,100691.0,3.0,21.0,67.83,30.57,1.12,917.0
1.0,1.36,103.0,101463.0,3.0,14.0,55.69,37.94,0.72,769.0
5.0,1.48,30.0,103658.0,3.0,21.0,2.62,38.26,0.64,1196.0
1.0,0.75,67.0,57045.0,3.0,5.0,27.83,38.27,2.07,697.0
4.0,0.87,2.0,111647.0,4.0,22.0,106.85,11.67,1.54,444.0
7.0,1.25,17.0,138680.0,2.0,6.0,22.69,35.87,2.44,873.0
5.0,1.1,107.0,26080.0,3.0,15.0,53.25,29.43,,1049.0
6.0,0.88,11.0,55919.0,3.0,21.0,106.02,38.47,1.61,741.0
1.0,1.51,5.0,50734.0,2.0,5.0,198.38,30.11,0.59,83.0
2.0,1.01,134.0,39065.0,3.0,21.0,163.1,39.71,1.41,637.0
6.0,1.27,62.0,59752.0,3.0,13.0,192.88,28.34,1.83,609.0
4.0,1.56,65.0,137256.0,1.0,5.0,153.34,10.65,1.87,248.0
1.0,0.72,67.0,114341.0,3.0,10.0,63.32,23.73,1.0,432.0
1.0,0.89,10.0,63158.0,1.0,20.0,88.64,22.51,2.39,258.0
7.0,0.74,117.0,51601.0,4.0,20.0,112.48,19.99,1.36,897.0
6.0,1.58,64.0,104431.0,3.0,7.0,42.67,21.35,1.29,
3.0,1.44,79.0,121221.0,3.0,10.0,25.98,16.16,2.27,856.0
1.0,1.16,57.0,79199.0,3.0,11.0,168.61,10.96,2.16,65.0
2.0,1.11,,21301.0,3.0,16.0,61.95,12.98,1.86,523.0
7.0,1.2,3.0,98353.0,1.0,21.0,84.97,25.68,0.82,922.0
1.0,1.26,23.0,145549.0,4.0,6.0,58.52,18.61,2.2,333.0
7.0,0.98,125.0,143750.0,3.0,21.0,3.9,36.94,1.22,1378.0
7.0,,56.0,139999.0,2.0,7.0,156.67,32.94,1.11,1330.0
2.0,0.97,144.0,20654.0,1.0,21.0,12.59,37.18,1.14,1096.0
7.0,1.4,112.0,110879.0,2.0,16.0,44.71,22.54,1.75,1123.0
7.0,1.33,8.0,92013.0,2.0,15.0,74.58,39.96,1.09,959.0
1.0,1.38,71.0,43991.0,3.0,19.0,196.99,32.5,2.49,263.0
3.0,1.25,147.0,57333.0,2.0,19.0,100.05,24.08,1.89,866.0
5.0,0.77,122.0,93843.0,3.0,13.0,66.96,30.26,1.82,979.0
3.0,1.27,87.0,90832.0,1.0,15.0,196.52,31.3,2.37,232.0
4.0,1.09,70.0,104577.0,2.0,6.0,9.25,27.67,0.56,895.0
2.0,1.26,129.0,83221.0,3.0,10.0,167.95,13.13,0.62,335.0
5.0,0.8,82.0,65156.0,1.0,24.0,,39.7,0.64,741.0
1.0,0.75,10.0,113246.0,4.0,5.0,191.46,19.02,1.56,-95.0
6.0,0.91,112.0,64439.0,1.0,7.0,20.91,30.89,1.43,1248.0
2.0,1.27,119.0,52634.0,1.0,19.0,10.48,31.57,0.99,946.0
5.0,1.59,42.0,121025.0,4.0,21.0,158.73,29.0,0.7,821.0
3.0,,56.0,25596.0,2.0,20.0,90.65,28.69,1.55,625.0
5.0,0.83,7.0,49140.0,4.0,11.0,55.61,17.84,,692.0
3.0,1.24,52.0,111756.0,3.0,15.0,80.56,12.39,1.68,502.0
6.0,1.43,73.0,48333.0,2.0,13.0,125.98,38.74,1.35,910.0
6.0,,146.0,111873.0,3.0,10.0,64.91,15.99,2.5,966.0
2.0,1.46,,62818.0,2.0,22.0,12.57,23.86,0.99,865.0
3.0,0.87,42.0,112850.0,3.0,20.0,55.09,30.02,1.6,602.0
,0.77,26.0,145851.0,4.0,21.0,128.17,10.98,1.95,158.0
5.0,0.97,35.0,54635.0,1.0,,35.12,12.57,1.31,619.0
2.0,0.86,58.0,44299.0,4.0,16.0,89.35,32.02,2.11,605.0
6.0,0.98,88.0,22809.0,1.0,12.0,130.16,30.23,1.59,719.0
1.0,1.15,43.0,37143.0,2.0,15.0,156.9,20.5,0.72,228.0
7.0,1.01,144.0,53798.0,2.0,21.0,26.9,32.45,2.27,1294.0
7.0,1.4,82.0,66511.0,2.0,11.0,162.72,30.65,2.12,818.0
3.0,1.58,94.0,106654.0,4.0,16.0,102.3,14.72,1.86,625.0
2.0,1.09,107.0,126471.0,4.0,23.0,12.26,21.77,1.42,961.0
5.0,1.37,118.0,107968.0,1.0,,64.7,10.54,1.26,820.0
1.0,1.04,102.0,117649.0,3.0,15.0,127.96,16.52,1.78,336.0
2.0,0.95,,,2.0,11.0,5.26,26.32,,695.0
3.0,1.02,34.0,106436.0,1.0,22.0,26.41,31.65,0.82,825.0
4.0,1.02,58.0,49086.0,3.0,19.0,46.15,37.18,1.67,949.0
3.0,0.9,47.0,57344.0,3.0,22.0,135.95,14.4,1.29,440.0
1.0,1.01,43.0,149949.0,4.0,17.0,76.58,12.53,0.91,349.0
3.0,1.46,34.0,131560.0,2.0,13.0,79.45,36.93,1.84,775.0
5.0,0.91,117.0,40711.0,4.0,14.0,72.29,34.67,2.27,986.0
,1.26,85.0,70906.0,1.0,5.0,135.58,33.75,2.39,395.0
6.0,1.31,116.0,59619.0,4.0,24.0,37.72,12.16,1.4,1097.0
,1.12,47.0,,4.0,22.0,196.2,31.11,1.1,529.0
5.0,1.32,149.0,123265.0,3.0,10.0,193.57,22.14,1.34,581.0
6.0,1.58,123.0,114781.0,1.0,20.0,94.63,18.49,1.91,893.0
2.0,1.39,75.0,53313.0,2.0,20.0,20.41,30.72,2.47,845.0
5.0,1.27,136.0,22637.0,1.0,23.0,106.54,11.52,1.73,715.0
4.0,1.19,103.0,76356.0,4.0,20.0,105.57,,0.67,677.0
1.0,0.8,19.0,50225.0,4.0,21.0,90.22,19.08,1.0,422.0
2.0,0.79,98.0,72428.0,1.0,19.0,7.3,37.91,1.28,901.0
5.0,1.0,113.0,73364.0,4.0,14.0,97.03,22.74,2.48,887.0
1.0,1.12,24.0,103434.0,1.0,24.0,64.83,35.26,0.74,582.0
7.0,1.55,84.0,21605.0,4.0,15.0,106.7,13.55,2.17,929.0
3.0,1.57,94.0,130361.0,1.0,21.0,174.51,29.66,0.69,492.0
6.0,0.91,40.0,50063.0,2.0,6.0,22.03,34.76,1.23,1038.0
7.0,1.29,46.0,100428.0,2.0,19.0,145.4,28.08,1.68,888.0
7.0,1.54,106.0,89101.0,2.0,,114.33,12.17,1.54,1780.0
3.0,,31.0,110678.0,3.0,7.0,163.39,32.19,1.67,377.0
2.0,,149.0,33569.0,2.0,17.0,176.05,10.3,0.54,383.0
4.0,0.79,90.0,55693.0,3.0,24.0,189.16,,1.73,553.0
1.0,0.96,18.0,20706.0,3.0,17.0,120.84,14.42,2.16,99.0
2.0,1.23,107.0,,1.0,22.0,96.02,33.6,0.65,653.0
7.0,1.41,114.0,144044.0,3.0,10.0,34.92,31.75,2.02,1258.0
6.0,0.85,148.0,38100.0,4.0,24.0,51.7,35.84,1.42,
4.0,1.39,115.0,113648.0,1.0,12.0,113.86,23.14,1.66,658.0
3.0,0.92,30.0,144342.0,,12.0,123.29,23.87,1.33,355.0
3.0,1.18,29.0,145609.0,2.0,,102.68,14.68,1.5,259.0
1.0,1.19,145.0,94417.0,1.0,14.0,123.87,20.1,1.53,372.0
7.0,1.48,131.0,69549.0,,11.0,36.99,16.75,2.26,1217.0
5.0,1.15,135.0,26054.0,2.0,23.0,5.03,20.44,0.51,1221.0
4.0,0.72,66.0,102844.0,1.0,7.0,44.22,28.69,0.84,717.0
,1.13,100.0,88199.0,3.0,17.0,86.56,37.88,0.6,688.0
5.0,0.75,27.0,52966.0,3.0,14.0,20.39,19.16,1.91,880.0
2.0,1.13,2.0,84016.0,4.0,16.0,33.91,,1.41,786.0
1.0,1.57,84.0,42785.0,3.0,8.0,85.95,33.97,1.05,584.0
1.0,1.36,86.0,81304.0,3.0,23.0,27.35,31.4,0.61,
1.0,0.82,68.0,140767.0,4.0,5.0,18.76,12.24,1.03,500.0
5.0,0.87,131.0,60860.0,3.0,,71.32,29.58,1.54,1017.0
1.0,1.16,11.0,114000.0,3.0,6.0,13.34,17.51,1.65,565.0
7.0,0.91,107.0,72719.0,3.0,12.0,145.9,21.26,1.49,842.0
2.0,0.71,101.0,22962.0,1.0,24.0,111.9,33.59,1.14,570.0
5.0,1.51,136.0,62281.0,3.0,5.0,154.1,29.06,1.54,646.0
4.0,0.73,99.0,141704.0,3.0,16.0,18.99,23.73,0.9,958.0
6.0,1.09,59.0,133087.0,4.0,15.0,156.91,20.44,1.39,763.0
1.0,1.57,11.0,36692.0,1.0,14.0,162.36,,2.25,-60.0
,1.4,53.0,134012.0,1.0,15.0,9.83,36.0,1.02,1069.0
1.0,1.48,38.0,29943.0,2.0,16.0,32.5,12.08,2.33,463.0
3.0,1.34,15.0,43649.0,2.0,17.0,1.06,25.58,0.7,782.0
1.0,1.34,21.0,24603.0,2.0,20.0,96.6,16.21,1.2,343.0
7.0,0.83,97.0,127215.0,3.0,15.0,175.88,29.35,2.45,745.0
6.0,1.0,124.0,39324.0,3.0,6.0,36.94,39.76,,1296.0
1.0,1.37,128.0,34141.0,3.0,19.0,141.58,21.46,2.33,452.0
5.0,0.92,10.0,22895.0,2.0,23.0,156.39,28.11,1.38,407.0
2.0,1.46,35.0,46532.0,4.0,6.0,127.75,,0.88,541.0
6.0,0.76,71.0,40698.0,4.0,19.0,118.06,36.51,1.97,886.0
2.0,1.22,115.0,112588.0,4.0,8.0,68.04,,,705.0
3.0,1.21,133.0,78565.0,1.0,20.0,158.77,17.61,2.15,469.0
1.0,1.02,135.0,64921.0,2.0,18.0,17.37,39.94,1.97,941.0
6.0,1.14,71.0,101010.0,3.0,18.0,66.2,14.5,1.04,915.0
6.0,1.46,7.0,138027.0,3.0,20.0,51.91,38.02,0.8,1020.0
1.0,1.29,26.0,60096.0,3.0,19.0,140.96,18.15,2.37,108.0
1.0,1.57,14.0,98929.0,1.0,20.0,197.44,17.57,1.96,47.0
6.0,1.0,53.0,134088.0,4.0,6.0,162.1,33.85,1.55,695.0
6.0,1.29,117.0,23681.0,2.0,17.0,197.9,17.58,0.73,569.0
5.0,1.45,37.0,48022.0,1.0,19.0,162.38,20.76,2.04,503.0
2.0,0.92,115.0,75421.0,3.0,18.0,147.36,34.28,1.01,558.0
2.0,1.4,60.0,107134.0,4.0,6.0,82.16,17.7,2.4,
3.0,1.06,78.0,113922.0,1.0,14.0,26.82,21.78,0.82,783.0
1.0,0.94,118.0,148212.0,1.0,22.0,27.65,22.05,2.45,643.0
6.0,1.21,46.0,123030.0,1.0,10.0,34.93,13.85,,795.0
4.0,1.48,130.0,47094.0,3.0,12.0,108.59,20.09,2.08,773.0
7.0,1.6,77.0,50341.0,4.0,14.0,53.87,37.28,2.27,1369.0
7.0,1.24,135.0,54980.0,1.0,8.0,48.06,37.97,0.8,1289.0
6.0,0.9,10.0,92104.0,1.0,16.0,6.08,21.39,1.01,1030.0
3.0,1.41,1.0,67975.0,3.0,15.0,94.57,12.21,2.1,444.0
2.0,1.49,126.0,94219.0,1.0,8.0,11.15,,1.34,892.0
5.0,0.8,143.0,22244.0,2.0,12.0,144.3,35.54,2.33,884.0
7.0,0.77,71.0,25529.0,1.0,19.0,193.73,18.7,2.09,494.0
7.0,1.33,35.0,136944.0,3.0,16.0,39.61,21.69,0.58,1096.0
4.0,0.83,51.0,114615.0,4.0,20.0,152.13,28.69,,538.0
2.0,1.56,40.0,31831.0,1.0,5.0,51.22,31.2,1.7,693.0
7.0,0.92,72.0,30763.0,1.0,18.0,175.04,25.18,1.99,620.0
3.0,1.38,99.0,122390.0,4.0,14.0,52.72,23.38,1.73,759.0
6.0,0.84,58.0,139875.0,1.0,14.0,64.8,22.33,0.8,875.0
1.0,1.08,55.0,148518.0,3.0,,99.91,19.55,2.24,277.0
1.0,1.46,123.0,145274.0,4.0,14.0,105.65,37.4,2.43,724.0
4.0,1.13,28.0,48899.0,1.0,19.0,56.92,28.76,2.04,569.0
7.0,1.45,21.0,65760.0,3.0,17.0,26.69,18.71,1.52,
5.0,0.76,80.0,25636.0,1.0,11.0,187.75,10.09,0.51,238.0
2.0,1.09,71.0,81078.0,3.0,24.0,62.92,20.15,1.39,690.0
2.0,1.46,108.0,126749.0,3.0,22.0,135.85,27.54,1.87,564.0
7.0,1.42,131.0,116387.0,4.0,8.0,121.24,26.01,1.26,1052.0
6.0,1.51,83.0,85756.0,3.0,13.0,156.34,25.19,1.15,725.0
2.0,1.13,6.0,122834.0,4.0,15.0,87.37,17.01,1.87,401.0
5.0,1.0,61.0,138257.0,3.0,19.0,154.21,38.0,1.66,760.0
5.0,0.77,133.0,123318.0,3.0,14.0,49.52,10.68,1.48,889.0
6.0,0.78,143.0,44904.0,2.0,5.0,117.35,39.08,2.36,1013.0
4.0,1.17,128.0,127041.0,2.0,16.0,158.41,21.49,2.11,560.0
6.0,1.37,42.0,98015.0,3.0,13.0,40.17,17.77,1.2,876.0
2.0,,34.0,59236.0,2.0,19.0,36.07,28.63,1.73,640.0
6.0,1.49,97.0,65178.0,2.0,19.0,25.23,18.72,0.81,1127.0
3.0,1.35,32.0,37297.0,4.0,8.0,152.6,24.21,2.47,259.0
6.0,0.99,129.0,139501.0,3.0,10.0,81.25,32.53,2.29,984.0
3.0,1.55,95.0,119246.0,2.0,24.0,21.38,39.71,1.26,1159.0
1.0,1.24,52.0,42813.0,3.0,13.0,126.08,17.15,1.85,137.0
7.0,1.11,26.0,97360.0,4.0,23.0,180.84,22.7,,603.0
2.0,1.27,48.0,115558.0,3.0,16.0,175.07,30.31,1.42,267.0
4.0,0.73,74.0,44503.0,3.0,9.0,23.67,26.18,2.05,892.0
6.0,0.79,130.0,131738.0,2.0,20.0,3.9,32.13,1.82,1196.0
5.0,1.1,20.0,47302.0,4.0,15.0,85.11,16.74,0.76,706.0
1.0,0.77,15.0,46502.0,4.0,17.0,53.6,28.99,1.35,480.0
3.0,0.95,75.0,149863.0,3.0,21.0,187.67,,1.27,228.0
4.0,1.1,56.0,131806.0,1.0,21.0,13.26,22.0,2.19,875.0
6.0,1.19,137.0,119041.0,3.0,6.0,25.02,13.19,0.66,1198.0
1.0,0.91,95.0,149642.0,3.0,24.0,20.95,31.92,2.24,771.0
4.0,1.19,25.0,36562.0,4.0,18.0,20.22,38.63,1.85,1014.0
3.0,1.05,21.0,22779.0,3.0,13.0,152.14,33.3,0.8,520.0
7.0,0.84,20.0,57394.0,1.0,14.0,181.19,31.58,2.28,504.0
,1.29,47.0,120372.0,3.0,12.0,126.69,20.1,1.17,906.0
5.0,1.18,19.0,24897.0,4.0,11.0,32.72,18.64,1.06,760.0
,0.95,26.0,42092.0,4.0,15.0,47.84,35.78,1.09,777.0
5.0,0.77,83.0,49511.0,4.0,18.0,166.5,38.86,0.71,833.0
1.0,1.2,59.0,52016.0,2.0,11.0,7.12,39.74,2.12,814.0
7.0,1.03,5.0,46928.0,4.0,5.0,111.03,24.89,0.84,702.0
1.0,1.16,57.0,79199.0,3.0,11.0,168.61,10.96,2.16,65.0
1.0,1.41,143.0,63880.0,3.0,19.0,29.7,38.21,0.97,1040.0
5.0,0.71,60.0,134205.0,2.0,11.0,66.24,15.16,1.29,681.0
1.0,0.75,3.0,139975.0,3.0,13.0,197.84,29.39,2.34,-68.0
5.0,0.89,10.0,75044.0,2.0,20.0,,36.62,0.98,
3.0,1.35,128.0,85524.0,1.0,22.0,81.22,26.76,0.52,736.0
5.0,1.55,105.0,38610.0,2.0,12.0,34.49,30.13,0.79,1008.0
3.0,1.03,48.0,128536.0,1.0,24.0,199.64,28.66,,260.0
4.0,1.08,86.0,46299.0,4.0,11.0,162.38,20.65,0.5,570.0
,1.44,131.0,90934.0,3.0,22.0,78.34,19.02,1.66,748.0
6.0,0.74,92.0,127369.0,2.0,6.0,5.32,10.92,1.77,868.0
3.0,0.99,83.0,100171.0,3.0,5.0,96.2,27.89,1.48,544.0
3.0,1.27,68.0,99737.0,3.0,16.0,23.1,24.76,1.97,794.0
2.0,0.71,86.0,91537.0,3.0,13.0,5.34,36.03,1.02,997.0
4.0,0.71,118.0,59563.0,3.0,17.0,151.16,21.82,2.28,
6.0,1.29,20.0,20893.0,3.0,12.0,130.5,35.16,2.02,810.0
5.0,1.44,93.0,104269.0,3.0,19.0,146.81,19.33,2.23,617.0
4.0,1.6,12.0,43488.0,1.0,8.0,34.37,37.48,1.63,860.0
7.0,1.34,62.0,129028.0,2.0,19.0,27.4,12.36,1.56,1029.0
7.0,1.16,77.0,45938.0,4.0,21.0,37.67,24.84,0.9,1178.0
4.0,,136.0,71567.0,3.0,11.0,1.64,10.61,0.98,1053.0
2.0,1.21,125.0,140053.0,3.0,10.0,37.08,30.63,1.65,950.0
3.0,1.27,83.0,86917.0,1.0,10.0,11.86,18.25,1.33,829.0
6.0,1.22,,55897.0,1.0,21.0,97.83,34.02,1.1,1882.0
1.0,,,37118.0,2.0,8.0,67.29,35.89,0.64,687.0
4.0,0.95,1.0,109131.0,1.0,5.0,109.34,37.07,0.6,504.0
6.0,0.78,143.0,44904.0,2.0,5.0,117.35,39.08,2.36,1013.0
3.0,1.03,65.0,51099.0,1.0,14.0,75.42,35.98,2.26,736.0
6.0,1.46,22.0,96290.0,1.0,15.0,190.53,,0.71,372.0
1.0,0.75,67.0,57045.0,3.0,5.0,27.83,38.27,2.07,697.0
5.0,1.18,66.0,52230.0,4.0,12.0,138.97,26.36,1.79,643.0
6.0,1.15,117.0,118958.0,1.0,5.0,67.73,,2.42,854.0
6.0,,131.0,24994.0,4.0,21.0,193.6,27.19,1.83,780.0
2.0,1.46,85.0,47959.0,1.0,8.0,75.08,39.81,1.45,771.0
7.0,1.34,51.0,34997.0,3.0,21.0,186.53,38.59,1.27,764.0
3.0,0.84,129.0,124504.0,,13.0,8.3,39.08,1.07,1096.0
5.0,1.39,5.0,134988.0,4.0,13.0,55.71,35.68,1.89,813.0
6.0,0.96,82.0,66825.0,4.0,7.0,20.25,34.5,1.34,1290.0
2.0,1.2,60.0,20786.0,2.0,7.0,145.33,12.69,0.52,
4.0,0.81,6.0,100730.0,4.0,16.0,114.73,24.12,1.93,440.0
,1.52,146.0,63617.0,1.0,14.0,152.86,26.91,,676.0
6.0,0.87,2.0,54159.0,1.0,14.0,27.04,27.5,2.19,865.0
2.0,0.82,148.0,69112.0,1.0,13.0,134.46,11.89,1.38,481.0
4.0,1.09,115.0,31695.0,1.0,22.0,11.28,28.48,1.27,
5.0,,147.0,145361.0,1.0,9.0,23.27,11.4,2.2,963.0
7.0,0.9,85.0,59884.0,,15.0,113.41,18.54,0.54,1010.0
7.0,1.01,86.0,97129.0,1.0,20.0,106.79,17.28,0.56,881.0
6.0,1.42,109.0,47594.0,1.0,12.0,124.78,28.6,2.33,856.0
2.0,0.83,99.0,72311.0,3.0,17.0,137.85,34.15,0.94,688.0
4.0,,93.0,39880.0,3.0,15.0,176.56,17.89,0.56,620.0
2.0,1.57,64.0,22887.0,1.0,21.0,100.06,23.65,1.37,551.0
5.0,0.76,131.0,149604.0,3.0,17.0,127.48,23.85,1.41,785.0
2.0,1.29,70.0,33749.0,1.0,22.0,38.41,38.04,1.27,944.0
7.0,1.02,17.0,141631.0,,14.0,9.68,21.68,2.29,1005.0
5.0,1.03,84.0,63066.0,1.0,7.0,180.72,29.38,1.69,534.0
5.0,1.12,92.0,,,5.0,186.96,21.43,2.43,866.0
6.0,1.48,59.0,72344.0,3.0,13.0,22.21,29.58,2.23,1178.0
5.0,,121.0,81646.0,1.0,5.0,123.05,28.78,,756.0
4.0,1.34,128.0,,3.0,19.0,196.99,25.66,0.62,686.0
1.0,1.57,147.0,78144.0,3.0,10.0,106.43,11.92,1.56,471.0
7.0,1.07,116.0,93717.0,4.0,6.0,156.25,37.41,0.62,1034.0
1.0,1.11,124.0,,2.0,23.0,,16.34,1.3,
7.0,,58.0,149648.0,3.0,21.0,146.24,36.65,0.7,1063.0
1.0,1.11,118.0,102263.0,4.0,13.0,75.73,37.93,2.37,649.0
2.0,0.98,105.0,109254.0,3.0,20.0,93.47,13.16,2.0,515.0
2.0,1.05,38.0,142990.0,1.0,10.0,186.21,32.03,1.23,
1.0,1.04,13.0,31549.0,1.0,10.0,68.31,24.46,1.58,278.0
1.0,1.47,37.0,120088.0,3.0,6.0,84.31,39.37,0.8,508.0
4.0,1.23,85.0,127392.0,2.0,23.0,61.77,37.64,1.3,1092.0
,1.34,74.0,62292.0,,7.0,66.16,31.62,2.06,547.0
3.0,,27.0,105155.0,4.0,11.0,53.25,31.81,1.71,698.0
3.0,0.82,38.0,84384.0,3.0,24.0,,16.39,0.53,678.0
2.0,1.54,145.0,35960.0,1.0,7.0,26.01,,2.09,884.0
5.0,1.09,144.0,40028.0,1.0,14.0,58.79,33.86,2.12,1033.0
3.0,1.3,27.0,,,15.0,27.34,,1.64,666.0
1.0,1.44,61.0,122272.0,1.0,21.0,7.24,35.11,1.12,832.0
2.0,0.86,111.0,138350.0,2.0,12.0,73.4,28.74,2.13,594.0
1.0,1.23,104.0,31154.0,4.0,17.0,186.69,38.86,0.83,434.0
2.0,1.51,3.0,91927.0,1.0,14.0,137.85,16.82,2.25,184.0
3.0,0.99,121.0,42634.0,2.0,17.0,75.24,25.28,1.9,684.0
6.0,0.88,48.0,123057.0,3.0,11.0,35.73,11.46,0.78,908.0
2.0,1.41,83.0,35577.0,1.0,20.0,171.53,24.17,0.94,331.0
3.0,1.45,124.0,21996.0,2.0,17.0,159.65,31.52,2.46,553.0
5.0,0.97,88.0,138998.0,4.0,23.0,151.48,23.48,1.63,849.0
1.0,1.21,126.0,105711.0,4.0,18.0,198.57,19.52,0.93,287.0
5.0,1.15,2.0,90219.0,1.0,16.0,35.48,38.98,0.53,
5.0,0.88,,59255.0,4.0,16.0,146.37,23.87,1.85,
1.0,1.19,16.0,134919.0,4.0,18.0,48.85,11.8,1.63,325.0
7.0,1.58,109.0,24567.0,1.0,,175.96,12.13,1.24,563.0
6.0,0.88,46.0,41341.0,4.0,13.0,158.94,26.68,1.38,685.0
5.0,1.1,15.0,114684.0,2.0,21.0,104.11,33.9,0.83,696.0
7.0,0.76,148.0,24321.0,2.0,14.0,159.51,19.29,2.14,867.0
5.0,0.77,5.0,91186.0,2.0,21.0,83.2,19.77,0.73,515.0
1.0,1.16,26.0,127798.0,1.0,20.0,146.72,27.79,1.25,211.0
1.0,1.44,75.0,,2.0,9.0,194.94,38.51,0.64,248.0
4.0,0.73,1.0,42499.0,2.0,14.0,165.11,13.28,1.88,44.0
